PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,50460
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,50460
Community,384,"""PROTOCOL-ICMP PING""",,,,,,50460
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55660
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,50646
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,50646
Community,384,"""PROTOCOL-ICMP PING""",,,,,,50646
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55661
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,50769
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,50769
Community,384,"""PROTOCOL-ICMP PING""",,,,,,50769
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55662
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51008
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51008
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51008
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55663
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51189
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51189
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51189
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55664
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51444
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51444
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51444
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55665
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51448
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51448
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51448
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55666
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51572
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51572
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51572
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55667
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51697
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51697
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51697
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55668
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,51898
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,51898
Community,384,"""PROTOCOL-ICMP PING""",,,,,,51898
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55669
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52075
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52075
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52075
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55670
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52230
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52230
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52230
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55671
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52296
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52296
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52296
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55672
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52455
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52455
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52455
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55673
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52604
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52604
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52604
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55674
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52698
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52698
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52698
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55675
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,52875
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,52875
Community,384,"""PROTOCOL-ICMP PING""",,,,,,52875
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55676
Community,366,"""PROTOCOL-ICMP PING Unix""",,,,,,53075
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,53075
Community,384,"""PROTOCOL-ICMP PING""",,,,,,53075
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,55677
